timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673457726475,2959,HTTP Request,200,OK,new_user 1-13,text,true,,62347,118,100,100,https://www.daraz.com.bd/,1359,0,1242
1673457729437,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,new_user 1-13,text,false,,1122,0,100,100,http:/,0,0,0
1673457726555,3461,HTTP Request,200,OK,new_user 1-17,text,true,,62314,118,99,99,https://www.daraz.com.bd/,1296,0,1086
1673457730017,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,new_user 1-17,text,false,,1122,0,99,99,http:/,0,0,0
1673457727079,3688,HTTP Request,200,OK,new_user 1-43,text,true,,62347,118,98,98,https://www.daraz.com.bd/,1589,0,1165
1673457730768,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,new_user 1-43,text,false,,1122,0,98,98,http:/,0,0,0
1673457727238,3915,HTTP Request,200,OK,new_user 1-51,text,true,,62314,118,97,97,https://www.daraz.com.bd/,626,0,402
1673457731154,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,new_user 1-51,text,false,,1122,0,97,97,http:/,0,0,0
1673457727899,3563,HTTP Request,200,OK,new_user 1-72,text,true,,62314,118,96,96,https://www.daraz.com.bd/,1552,0,1139
1673457731463,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,new_user 1-72,text,false,,1122,0,96,96,http:/,0,0,0
1673457727480,4484,HTTP Request,200,OK,new_user 1-57,text,true,,62314,118,95,95,https://www.daraz.com.bd/,353,0,176
1673457731966,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,new_user 1-57,text,false,,1122,0,95,95,http:/,0,0,0
1673457727949,4422,HTTP Request,200,OK,new_user 1-85,text,true,,62347,118,94,94,https://www.daraz.com.bd/,1088,0,653
1673457732373,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,new_user 1-85,text,false,,1122,0,94,94,http:/,0,0,0
1673457727176,5503,HTTP Request,200,OK,new_user 1-48,text,true,,62347,118,93,93,https://www.daraz.com.bd/,1142,0,1035
1673457732680,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,new_user 1-48,text,false,,1122,0,93,93,http:/,0,0,0
1673457728184,4755,HTTP Request,200,OK,new_user 1-97,text,true,,62314,118,92,92,https://www.daraz.com.bd/,1525,0,1421
1673457732941,0,HTTP Request,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/,new_user 1-97,text,false,,1122,0,92,92,http:/,0,0,0
1673457726411,6692,HTTP Request,200,OK,new_user 1-6,text,true,,62355,118,91,91,https://www.daraz.com.bd/,2077,0,1966
